Paper title,Abstract summary,Authors,Journal,Influential citations,Scimago Journal Rank,DOI,PDF,Year,Citations,DOI URL,Semantic Scholar URL,Abstract,Takeaway suggests yes/no,Study type,Number of participants,Intervention,Outcomes measured
"THALASSEMIA in ASIA 2021: Thalassemia in Guangxi Province, People’s Republic of China",Thalassemia is a major health problem in Guangxi Province.,"Ping Chen, Wei-xiong Lin, Shu-Qun Li",Hemoglobin,,0.261 (16061),10.1080/03630269.2021.2008960,,2022,,https://doi.org/10.1080/03630269.2021.2008960,https://semanticscholar.org/paper/dfd640aec5d32a629ff66f4b551250c1107adcf9,"Abstract Guangxi Province is located in the southwest of the People’s Republic of China (PRC). The province has a population of 50.12 million with a birth rate of 13.31%. Thalassemia is a major health problem in Guangxi Province. About 20.0–25.0% of the population carries thalassemia genes, which is acknowledged to be the highest prevalence in China. National and provincial programs for thalassemia prevention and control have been introduced. Premarital screening and prenatal diagnosis (PND) for the prevention of thalassemic fetuses are available. Blood transfusions, iron chelation therapy, and stem cell transplantation are also available for transfusion-dependent thalassemic patients.",,,,,
"Thalassemia review: features, dental considerations and management","A multidisciplinary approach involving dental surgeon, haematologist, and orthodontist is the best advised approach for thalassemia patients.","Nawal Helmi, Mawahib Bashir, A. Shireen, I. M. Ahmed",Electronic Physician,,,10.19082/4003,http://www.ephysician.ir/2017/4003.pdf,2017,44,https://doi.org/10.19082/4003,https://semanticscholar.org/paper/35cf5f7b039c5d4f7867b662b76648bff47e41c2,"Thalassemia is a genetic disorder that involves abnormal haemoglobin formation. The two main categories of thalassemia are alpha and beta thalassemia that are then divided into further subcategories. While some mild forms of thalassemia might even go unnoticed and only cause mild anaemia and iron deficiency problems in patients, other more severe forms of thalassemia can even result in death. Individuals with thalassemia can get treatment according to the level of severity of their condition. The main oral manifestations of thalassemia are Class II malocclusion, maxillary protrusion, high caries index, severe gingivitis. Any dental surgical procedure for such patients should be done under antibiotic cover and immediately after transfusion. Caution should be exercised in thalassemia patients due to complications related to compromised immunity and cardiovascular issues. Multidisciplinary approach involving dental surgeon, haematologist and orthodontist is the best advised approach.",,Review,,,"• Class II malocclusion
• maxillary protrusion
• high caries index
• severe gingivitis"
Pattern and clinical profile of thalassemia among pediatric patients attending the Yemeni Society Centers for Thalassemia and Genetic Blood Disorders in Yemen,The best outcome of thalassemia was among those patients 1.7 years old or younger at the time of diagnosis and those patients 2 years old or younger at first blood transfusion.,"Hala A. Al-Kherbash, Ahmed Al-Awdi, N. S. Hasan",,,,10.4103/SJAMF.SJAMF_15_17,,2017,9,https://doi.org/10.4103/SJAMF.SJAMF_15_17,https://semanticscholar.org/paper/eda71d5ab65c61c79ca0cc18bb3ddc85fc1e4e3d,"Background Thalassemia is a type of inherited anemia. Its management is complex and expensive, and requires a multiple-team approach. Optimal and sufficient clinical care is demanding. Aim The aim of this study was to determine the magnitude, sex and age distribution, clinical profile, complications, investigation, and management of transfusion-dependent β-thalassemia major among Yemeni pediatric patients attending the Yemeni Society Centers for Thalassemia and Genetic Blood Disorders in Yemen as, to our knowledge, no similar previous study has been carried out in Yemen. Patients and methods This was a prospective, cross-sectional, descriptive study carried out during the period from January 2015 to December 2016. A total of 109 Yemeni pediatric transfusion-dependent β-thalassemia major patients who attended the Yemeni Society Centers for Thalassemia and Genetic Blood Disorders in Yemen were included. Detailed assessment of history, clinical examination, investigations, treatment, and follow-up were performed for every patient. The data were collected from the medical records of the patients. Results There was a slight male predominance (53.2%), with a male to female ratio of 1.14 : 1. Approximately 33% of the patients were in the age group 7–10 years, followed by the age group 3–6 years. The mean age of the cases was 7.68±5.8 years. Positive parent consanguinity was present (74.2%) and the majority (64.2%) were first-degree relatives. The best outcome of thalassemia was among those patients 1.7 years old or younger at the time of diagnosis and those patients 2 years old or younger at first blood transfusion. Earlier initiation of chelating therapy yielded better outcomes and reduced the mortality rate with a highly statistically significant difference. The usage of a combination of both oral chelation and subcutaneous iron chelation (iron pump) therapies led to a noticeably better outcome and reduced the mortality rate markedly. A proportional relation was detected between serum ferritin level and mortality among the cases, with a statistically significant difference. The complication rate was high (40.2%). The mortality rate was also high (27.5%). Cardiac dysfunction was the major risk factor of death among our thalassemic patients as about 60% of the deaths were because of cardiac complications, with a highly statistically significant difference. Conclusion Increasing awareness of the morbidity and mortality of transfusion-dependent β-thalassemia major among pediatric Yemeni patients, with an emphasis on the great importance of premarital screening before marriage in Yemen, is mandatory. For better outcomes, routine investigations to detect early complications with proper treatment of the predisposing factors and complications are necessary.",,,109,chelation therapy,"• magnitude, sex and age distribution, clinical profile, complications, investigation, and management of transfusion dependent β thalassemia major among Yemeni pediatric patients"
Thalassemia in Viet Nam,Thalassemia prevention and control programs were introduced for the prevention of new thalassemic births.,"K. Bach, Ha Thi Thanh Nguyen, T. H. Nguyen, M. B. Nguyen, Tri A. Nguyen",Hemoglobin,,0.261 (16061),10.1080/03630269.2022.2069032,,2022,,https://doi.org/10.1080/03630269.2022.2069032,https://semanticscholar.org/paper/db6c97628dce50c7eb3ae759278724ac8fcb3d0d,"Abstract The population of Viet Nam, is 96.2 million, of which 13.8% are carriers of thalassemia genes. Thalassemia/hemoglobinopathies carriers exist at different frequencies in all 54 ethnic groups of the country. Gene carrier rate and globin gene mutation rate varies ethnically and topographically. The ethnic groups in the Northern Highland region have high rates of α0- and β0-thalassemia (α0- and β0-thal), while those in the Southern Middle region have high rates of α+-thalassemia (α+-thal) and Hb E (or codon 26) (HBB: c.79G>A). The lowest is found in La Hu (0.23%), while the highest is found in Raglai (88.6%). Thalassemia prevention and control programs were introduced using prenatal and neonatal diagnosis for the prevention of new thalassemic births. Most existing thalassemia patients are undergoing supportive treatment with regular blood transfusions and iron chelation. Curative treatment by hematopoietic stem cell transplantation is available but is limited to a minority of the patients.",,,,,"• frequency of thalassemia carriers in different ethnic groups
• the rate of globin gene mutation in different ethnic groups
• the rate of new thalassemic births
• the rate of existing thalassemia patients undergoing supportive treatment"
Epidemiologic study of major complications in adolescent and adult patients with thalassemia in Northeastern Thailand: the E-SAAN study phase I,Splenectomy and advanced age were important factors for complications involvement in patients with non-transfusion-dependent thalassemia.,"N. Teawtrakul, A. Jetsrisuparb, Saranya Pongudom, C. Sirijerachai, K. Chansung, C. Wanitpongpun, S. Fucharoen",Hematology,,0.507 (9871),10.1080/10245332.2017.1358845,https://www.tandfonline.com/doi/pdf/10.1080/10245332.2017.1358845?needAccess=true,2018,20,https://doi.org/10.1080/10245332.2017.1358845,https://semanticscholar.org/paper/9ddd106d5b4454b233f5503a44ecffaa19cd2a94,"ABSTRACT Introduction: Thalassemia-related complications are one of the main factors that increase morbidity and mortality in aging patients with thalassemia. This study was aimed to report the prevalence and clinical risk factors for the complications in thalassemia. Methods: A multi-center prospective cohort study was conducted in patients with thalassemia aged ≥10 years old. Thalassemia-related complications were heart failure, pulmonary hypertension, extramedullary hematopoiesis, endocrine disorders, infections, thrombosis and leg ulcers. The clinical parameters significantly associated with the complications were analyzed by logistic regression methods. Results: The prevalence of thalassemia-related complications was 60.5% in patients with transfusion-dependent thalassemia (TDT) and 43% in patients with non-transfusion-dependent thalassemia (NTDT). Splenectomy was statistically associated with complications in both TDT and NTDT patients (adjusted odds ratio (AOR) = 7.4, p-value = 0.0001 and AOR = 2.6, p-value = 0.001). Age ≥50 years old (AOR = 2.9, p-value = 0.04) and female gender (AOR = 0.5, p-value = 0.03) were statistically associated with the complications in patients with NTDT. Conclusion: Nearly half of the patients in this cohort had disease-related complications. Splenectomy and advanced age were important factors for complication involvement. Early screening for the complications may reduce the morbidity and mortality in patients with thalassemia.",,,,,• thalassemia related complications
Thalassemia in the United Arab Emirates: Why it can be prevented but not eradicated,The prevention measures can contribute to reduce the prevalence of the disease only in the short term.,"Sehjeong Kim, A. Tridane",PLoS ONE,,0.852 (5222),10.1371/journal.pone.0170485,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170485&type=printable,2017,25,https://doi.org/10.1371/journal.pone.0170485,https://semanticscholar.org/paper/e471852bdad9889562c9bc314466044b0009c290,"Thalassemia is a genetic blood disorder that causes abnormal hemoglobin. Hemoglobin is a protein in red blood cells that carries oxygen and is made of two proteins from four α-globin genes and two β-globin genes. A defect in one or more of these genes causes thalassemia. The treatment of thalassemia mostly depends on life-long blood transfusions and removal of excessive iron from the blood stream. Such tremendous blood consumption puts pressure on the national blood stock in many countries. In particular, in the United Arab Emirates (UAE), various forms of thalassemia prevention have been used and hence, the substantial reduction of the thalassemia major population has been achieved. However, the thalassemia carrier population still remains high, which leads to the potential increase in the thalassemia major population through carrier-carrier marriages. In this work, we investigate the long-term impact and efficacy of thalassemia prevention measures via mathematical modeling at a population level. To our best knowledge, this type of assessment has not been done before and there is no mathematical model that has investigated such a problem for thalassemia or any blood disorders at a population level. By using UAE data, we perform numerical simulations of our model and conduct sensitivity analysis of parameter values to see which parameter values affect most the dynamics of our model. We discover that the prevention measures can contribute to reduce the prevalence of the disease only in the short term but not eradicate the disease in the long term.",,,,,• long term impact and efficacy of thalassemia prevention measures
An overview on thalassemia and challenges during COVID-19,The inherited blood disorder thalassemia depends upon the level of severity.,Asaad Mohammed Babker,International Journal of Health Sciences,,,10.53730/ijhs.v6ns1.5446,https://sciencescholar.us/journal/index.php/ijhs/article/download/5446/1561,2022,1,https://doi.org/10.53730/ijhs.v6ns1.5446,https://semanticscholar.org/paper/61d4a2d8d11458920d8df08c96e8b4c8ebeb5fcb,"The thalassemia is a group of disorders in which the normal ratio of alpha globin to beta globin production is disrupted due to a disease-causing variant in one or more of the globin genes. This abnormal alpha- to beta-chain ratio causes the unpaired chains to precipitate and causes destruction of red blood cell precursors in the bone marrow (ineffective erythropoiesis) and circulation (hemolysis). Affected individuals with thalassemia have variable degrees of anemia and extramedullary hematopoiesis, which in turn can cause bone changes, impaired growth, and iron overload. The aim and objectives are to describe the basic genetic differences between alpha-thalassemia and beta-thalassemia. Describe the hematologic findings and pathophysiological changes that are associated with beta-thalassemia major. Summarize the etiology of thalassemias and describe the basic genetic differences between alpha-thalassemia and beta-thalassemia. Describe the genetic, hematologic, and clinical differences between alpha-thalassemia trait, hemoglobin H disease, and hydrops fetalis. outline the challenges of thalassemia during Covid 19 crisis. Thalassemia is the most common, inherited, single-gene disorder in the world. Treatment of the inherited blood disorder thalassemia depends upon the level of severity.",,Review,,,
"Thalassemia an update: molecular basis, clinical features and treatment",Thalassemia major is more extensive and patient needs to blood transfusion.,"K. Tari, P. Ardalan, Mahnoosh Abbaszadehdibavar, A. Atashi, A. Jalili, Maryam Gheidishahran",,,,10.22631/IJBMPH.2018.56102,http://www.ijbmph.com/article_56102_86f757084a3462c479772468c362d3a1.pdf,2018,23,https://doi.org/10.22631/IJBMPH.2018.56102,https://semanticscholar.org/paper/9820f5d189c0ca019f39f0433b82beb5ce582d96,"Thalassemia are a group of inherited blood disorders caused by the decrease or absence of beta-globin chain synthesis will be determined with decrease in erythrocyte hemoglobin, decreased production of erythrocytes and anemia. More thalassemia is inherited as recessive autosomal. According to this fact that which one of the chains are involved, they invide into two type including alpha and beta thalassemia, which each of them including several types. Thalassemia major is more extensive and patient needs to blood transfusion, but thalassemia minor is slight. The most important problem in this patient include iron overload, cardiac arrhythmia, hepatitis, osteoporosis and endocrine disorder however there are typical signs and symptoms of anemia. Treatment including Change of expression and production of HbF, Hematopoietic stem cell transplantation and Maintenance Treatment such as chelators therapy, Induction of fetal hemoglobin production by using Hydroxia urea, use of immunomodulator agents and Molecular Therapy by targeting of genes involving in HbF expression.in this article we review the thalassemia disorder and discuss on molecular basis, clinical features and treatment.",,Review,,,
Thalassemias in South Asia: clinical lessons learnt from Bangladesh,Thalassemias are likely to be a major public health concern in the coming decades in South Asia.,"Mohammad Sorowar Hossain, Enayetur  Raheem, Tanvira Afroze Sultana, Shameema  Ferdous, Nusrat  Nahar, Sazia  Islam, Mohammad  Arifuzzaman, Mohammad Abdur Razzaque, Rabiul  Alam, Sonia  Aziz, Hazera  Khatun, Abdur  Rahim, Manzur  Morshed",Orphanet Journal of Rare Diseases,,1.105 (3511),10.1186/s13023-017-0643-z,https://ojrd.biomedcentral.com/track/pdf/10.1186/s13023-017-0643-z,2017,44,https://doi.org/10.1186/s13023-017-0643-z,https://semanticscholar.org/paper/5192273502f7f9fbc38b93681b1ce37aa07014b6,"Thalassemias are emerging as a global public health concern. Due to remarkable success in the reduction of childhood mortality by controlling infectious diseases in developing countries, thalassemias are likely to be a major public health concern in the coming decades in South Asia. Despite the fact that Bangladesh lies in the world’s thalassemia belt, the information on different aspects (epidemiology, clinical course, mortality, complications and treatment outcomes) of thalassemias is lacking. In this comprehensive review, the aim is to to depict the epidemiological aspects of thalassemias, mutation profile and current treatment and management practices in the country by sharing the experience of dealing with 1178 cases over 2009–2014 time periods in a specialized thalassemia treatment centre. We have also discussed the preventative strategies of thalassemias from the context of Bangladesh which could be effective for other developing countries.",,Review,"2,244",,"• epidemiology
• clinical course
• mortality
• complications
• treatment outcomes"
Epidemiology of Thalassemia in Gulf Cooperation Council Countries: A Systematic Review,The incidence of high-risk couple marriages in GCC countries cannot be effectively diminished by premarital screening and genetic counseling programs in GCC countries.,"Amani K Abu-Shaheen, Humariya Heena, Abdullah H. Nofal, D. Abdelmoety, Abdulrahman AlMatary, M. Alsheef, Isamme AlFayyad",BioMed research international,,0.647 (7537),10.1155/2020/1509501,https://downloads.hindawi.com/journals/bmri/2020/1509501.pdf,2020,8,https://doi.org/10.1155/2020/1509501,https://semanticscholar.org/paper/39f03e993ffb08c52192316301bd892952b4249b,"Background Thalassemia has a burden on the healthcare systems of many countries. About 56000 conceptions result in thalassemia, globally. Objective To assess the epidemiological profile of thalassemia in the Gulf Cooperation Council (GCC) countries. Methods A systematic search was conducted in MEDLINE/PubMed (National Library of Medicine), CINAHL, and Embase. Relevant observational studies reporting the epidemiology of thalassemia among the GCC population were selected. Data on the prevalence, frequency, and complications of thalassemia were extracted. The quality of the retrieved studies was assessed according to the Newcastle–Ottawa Quality Assessment Scale. Results Eighteen studies (14 cross-sectional studies, two retrospective observational studies, and two retrospective analysis) with a total of 3343042 participants were included in this systematic review. Of the 18 studies, 11 studies were conducted in Saudi Arabia, two in the Kingdom of Bahrain, one in Kuwait, three in the United Arab Emirates (UAE), and one in Qatar. The prevalence of thalassemia among children below five years of age ranged from 0.25% to 33%, while it was 0.9% in children above five years and from 0.035% to 43.3% among adult thalassemia patients. The most-reported risk factors were consanguineous marriage and high-risk marriage. There was a lack of data regarding mortality rates in thalassemia. Conclusions Despite the premarital screening and genetic counseling (PMSGC) program for thalassemia, the incidence of high-risk couple marriages in GCC countries cannot be effectively diminished. This study suggested that the PMSGC program should adopt more attention for the high-risk areas, to enhance the level of consciousness about the hemoglobinopathy diseases and the consequences of consanguinity among the at-risk couple.",,Systematic Review,3343042,,"• prevalence of thalassemia among children below 5 years of age
• prevalence of thalassemia among children above 5 years
• prevalence of thalassemia among adult thalassemia patients"
Molecular Heterogeneity of Thalassemia among Pregnant Laotian Women,The remarkable genotype-phenotype diversity indicates a need for careful laboratory interpretation in order to provide appropriate genetic counseling and care to the Laotian population.,"Kasama Wongprachum, K. Sanchaisuriya, Maneelay Dethvongphanh, Boualay Norcharoen, Bousanit Htalongsengchan, Virack Vidamaly, P. Sanchaisuriya, S. Fucharoen, G. Fucharoen, F. Schelp",Acta Haematologica,,0.518 (9659),10.1159/000438739,,2015,16,https://doi.org/10.1159/000438739,https://semanticscholar.org/paper/54a7fffd574e3b716d1463edb068f6535d4ebe32,"Background and Aims: A pilot screening program for thalassemia was initiated in the Lao People's Democratic Republic. This study aimed to describe the genotype diversity and hematologic features of thalassemia among the participating pregnant women. Methods: Blood samples of 411 pregnant Laotian women were collected. Hemoglobin (Hb) profiles were determined using a capillary zone electrophoresis system. Mutations of α- and β-globin genes were investigated using a polymerase chain reaction and related techniques. Results: As many as 26 different thalassemia genotypes including non-transfusion-dependent thalassemia, i.e. Hb E-β-thalassemia, Hb H, and EA Bart's diseases, were identified. A variety of phenotypic expressions of hematologic features and Hb profiles were observed, including an unusual phenotype of Hb E-β⁰ thalassemia with 89.1% Hb E, 1.6% Hb F, and 9.3% Hb A2. Conclusions: The remarkable genotype-phenotype diversity indicates a need for careful laboratory interpretation in order to provide appropriate genetic counseling and care to the Laotian population.",,,411,,• genotype diversity and hematologic features of thalassemia among the participating pregnant women
"Next‐generation sequencing improves molecular epidemiological characterization of thalassemia in Chenzhou Region, P.R. China",Thalassemia is a highly prevalent monogenic inherited disease in southern China.,"Haoqing Zhang, Caiyun Li, Jianbiao Li, Shuai Hou, Danjing Chen, Haiying Yan, Shi-ping Chen, Saijun Liu, Z. Yin, Xiaoqing Yang, J. Tan, Xiaoyan Huang, Liming Zhang, Junbin Fang, Caifen Zhang, Wei Li, Jian Guo, Dongzhu Lei",Journal of clinical laboratory analysis (Print),,,10.1002/jcla.22845,https://europepmc.org/articles/pmc6528559?pdf=render,2019,25,https://doi.org/10.1002/jcla.22845,https://semanticscholar.org/paper/4dec244a65b7c1a17bbce6d55d8520c213c90d96,Thalassemia is a highly prevalent monogenic inherited disease in southern China. It is important to collect epidemiological data comprehensively for proper prevention and treatment.,,,"15,807",,
"Prevalence and genetic analysis of thalassemia in childbearing age population of Hainan, The Free Trade Island in Southern China",Hainan has one of the high incidences of thalassemia in China.,"Min Wang, Xiaozhuan Zhang, Yanhong Zhao, Zhe Lu, Meifang Xiao",Journal of clinical laboratory analysis,,0.546 (9171),10.1002/jcla.24260,,2022,3,https://doi.org/10.1002/jcla.24260,https://semanticscholar.org/paper/41f953b9f39c90983118d0f42ae65729bcb9a332,"Hainan has one of the high incidences of thalassemia in China, but the epidemiological data in the whole province has not been reported yet. The objective of our study was to reveal the true prevalence and molecular mutation spectrum of thalassemia in the population of Hainan who are of childbearing age.",,,,,• prevalence and molecular mutation spectrum of thalassemia in the population of Hainan who are of childbearing age
Thalassemia 2016: Modern medicine battles an ancient disease,DNA-based diagnosis elucidated the molecular basis of the disease and clarified the variable clinical picture.,D. Rund,American journal of hematology/oncology,,,10.1002/ajh.24231,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajh.24231,2016,75,https://doi.org/10.1002/ajh.24231,https://semanticscholar.org/paper/2f543411ce0bf476eaf5a65c1688b7ffb3918504,"Thalassemia was first clinically described nearly a century ago and treatment of this widespread genetic disease has greatly advanced during this period. DNA‐based diagnosis elucidated the molecular basis of the disease and clarified the variable clinical picture. It also paved the way for modern methods of carrier identification and prevention via DNA‐based prenatal diagnosis. Every aspect of supportive care, including safer blood supply, more regular transfusions, specific monitoring of iron overload, parenteral and oral chelation, and other therapies, has prolonged life and improved the quality of life of these patients. Significant advances have also been made in allogenic bone marrow transplantation, the only curative therapy. Recently, there has been a rejuvenated interest in studying thalassemia at the basic science level, leading to the discovery of previously unknown mechanisms leading to anemia and enabling the development of novel therapies. These will potentially improve the treatment of, and possibly cure the disease. Pathways involving activin receptors, heat shock proteins, JAK2 inhibitors and macrophage targeted therapy, among others, are being studied or are currently in clinical trials for treating thalassemia. Novel types of genetic therapies are in use or under investigation. In addition to the challenges of treating each individual patient, the longer survival of thalassemia patients has raised considerations regarding worldwide control of thalassemia, since prevention is not universally implemented. This review will trace a number of the original medical milestones of thalassemia diagnosis and treatment, as well as some of the most recent developments which may lead to innovative therapeutic modalities. Am. J. Hematol. 91:15–21, 2016. © 2015 Wiley Periodicals, Inc.",,Review,,,
"Molecular Epidemiological Characterization and Health Burden of Thalassemias in the Chaoshan Region, People’s Republic of China",The most common -thal mutations were the Southeast Asian mutations in the studied individuals.,"Xiangbin Zheng, Min Lin, Huitian Yang, Meichen Pan, Ying Cai, Jiao-ren Wu, F. Lin, Xiao-fen Zhan, Zhao-yun Luo, Huitian Yang, Li-ye Yang",Hemoglobin,,0.261 (16061),10.3109/03630269.2015.1137933,https://figshare.com/articles/journal_contribution/Molecular_Epidemiological_Characterization_and_Health_Burden_of_Thalassemias_in_the_Chaoshan_Region_People_s_Republic_of_China/2082616/2/files/4503310.pdf,2016,15,https://doi.org/10.3109/03630269.2015.1137933,https://semanticscholar.org/paper/9d04cc4dd816eab1cd9d5faedb542d5d7dbb656c,"Abstract Thalassemia is one of the most prevalent inherited disease in southern China. However, there have been only a few epidemiological studies of thalassemia in the Chaoshan region of Guangdong Province, People’s Republic of China (PRC). A total of 6231 unrelated subjects in two main geographical cities of the Chaoshan region was analyzed for thalassemia. Seven hundred and thirty-six cases of suspected thalassemia carriers with microcytosis [mean corpuscular volume (MCV) <82.0 fL] were found by complete blood cell (CBC) count, and were tested by reverse dot-blot gene chip to reveal a total of 331 mutant chromosomes, including 278 α-thalassemia (α-thal) alleles and 53 β-thalassemia (β-thal) alleles. The most common α-thal mutations were the Southeast Asian (– –SEA), followed by the –α3.7 (rightward) and –α4.2 (leftward) deletions. The two most common β-thal mutations were HBB: c.316-197C>T and HBB: c.126_129delCTTT, accounting for 69.81% of the β-thal defects in the studied individuals. In addition, a rare mutation, Cap +1 (A>C) (HBB: c.-50A>C) was described for the first time in the Chaoshan region. Our results gave a heterozygote frequency of 5.31% for common α- and β-thal in the Chaoshan region, and also indicated a higher prevalence of thalassemia with a heterozygote frequency of 6.29% in Chaozhou, followed by Shantou (3.37%). This study provided a detailed prevalence and molecular characterization of thalassemia in the Chaoshan region, and will be valuable for developing a strategy for prevention of thalassemia and reducing excessive health care costs in this area.",,,6231,,• prevalence and molecular characterization of thalassemia in the Chaoshan region
Bone Disease in Thalassemia: A Molecular and Clinical Overview.,Thalassemia bone disease is a composite of multiple hormonal deficiencies and multiorgan diseases.,"P. Wong, P. Fuller, M. Gillespie, F. Milat",Endocrine reviews,,6.86 (150),10.1210/er.2015-1105,https://academic.oup.com/edrv/article-pdf/37/4/320/10492423/edrv0320.pdf,2016,55,https://doi.org/10.1210/er.2015-1105,https://semanticscholar.org/paper/c43bc13d7c5ba492b215699dd7d640bb43881b17,"Thalassemia bone disease is a common and severe complication of thalassemia-an inherited blood disorder due to mutations in the α or β hemoglobin gene. In its more severe form, severe anemia is present, and treatment with frequent red blood cell transfusion is necessary. Because the body has limited capacity to excrete iron, concomitant iron chelation is required to prevent the complications of iron overload. The effects of chronic anemia and iron overload can lead to multiple end-organ complications such as cardiomyopathy, increased risks of blood-borne diseases, and liver, pituitary, and bone disease. However, our understanding of thalassemia bone disease is incomplete and is composed of a complex piecemeal of risk factors that include genetic factors, hormonal deficiency, marrow expansion, skeletal dysmorphism, iron toxicity, chelators, and increased bone turnover. The high prevalence of bone disease in transfusion-dependent thalassemia is seen in both younger and older patients as life expectancy continues to improve. Indeed, hypogonadism and GH deficiency contribute to a failure to achieve peak bone mass in this group. The contribution of kidney dysfunction to bone disease in thalassemia is a new and significant complication. This coincides with studies confirming an increase in kidney stones and associated accelerated bone loss in the thalassemia cohort. However, multiple factors are also associated with reduced bone mineral density and include marrow expansion, iron toxicity, iron chelators, increased bone turnover, GH deficiency, and hypogonadism. Thalassemia bone disease is a composite of not only multiple hormonal deficiencies but also multiorgan diseases. This review will address the molecular mechanisms and clinical risk factors associated with thalassemia bone disease and the clinical implications for monitoring and treating this disorder.",,Review,,,
Survival and complication rates in patients with thalassemia major in Taiwan,Transfusion and iron chelation therapy for thalassemia major has improved dramatically in recent years.,"Han-Ping Wu, Cheng-Li Lin, Yin‐Chen Chang, Kang-Hsi Wu, Rouh‐Lih Lei, C. Peng, T. Weng, Yu‐Man Tai, Y. Chao",Pediatric blood & cancer,,,10.1002/pbc.26181,,2017,28,https://doi.org/10.1002/pbc.26181,https://semanticscholar.org/paper/6306c75de95f736473726ea643d4c738c667b1de,"While transfusion and iron chelation therapy for thalassemia major (TM) has improved dramatically in recent years, the consequences of this improvement (current rates of survival and TM‐related complications) remain unknown.",,,,,"• survival rates
• complication rates"
"Prevalence of Alpha(α)-Thalassemia in Southeast Asia (2010–2020): A Meta-Analysis Involving 83,674 Subjects",The highest -thalassemia prevalence was observed in Vietnam.,"L. P. W. Goh, E. Chong, Ping-Chin Lee",International Journal of Environmental Research and Public Health,,0.814 (5586),10.3390/ijerph17207354,https://www.mdpi.com/1660-4601/17/20/7354/pdf?version=1602207918,2020,17,https://doi.org/10.3390/ijerph17207354,https://semanticscholar.org/paper/0054b4c7e1781dfafa293d308102499fb65facb0,"Alpha(α)-thalassemia is a blood disorder caused by many types of inheritable α-globin gene mutations which causes no-to-severe clinical symptoms, such as Hb Bart’s hydrops fetalis that leads to early foetal death. Therefore, the aim of this meta-analysis was to provide an update from year 2010 to 2020 on the prevalence of α-thalassemia in Southeast Asia. A systematic literature search was performed using PubMed and SCOPUS databases for related studies published from 2010 to 2020, based on specified inclusion and exclusion criteria. Heterogeneity of included studies was examined with the I2 index and Q-test. Funnel plots and Egger’s tests were performed in order to determine publication bias in this meta-analysis. Twenty-nine studies with 83,674 subjects were included and pooled prevalence rates in this meta-analysis were calculated using random effect models based on high observed heterogeneity (I2 > 99.5, p-value < 0.1). Overall, the prevalence of α-thalassemia is 22.6%. The highest α-thalassemia prevalence was observed in Vietnam (51.5%) followed by Cambodia (39.5%), Laos (26.8%), Thailand (20.1%), and Malaysia (17.3%). No publication bias was detected. Conclusions: This meta-analysis suggested that a high prevalence of α-thalassemia occurred in selected Southeast Asia countries. This meta-analysis data are useful for designing thalassemia screening programs and improve the disease management.",,Meta-Analysis,"83,674",,• prevalence of α thalassemia in Southeast Asia
Current Status of Thalassemia in Lao People’s Democratic Republic,The prevalence of beta-thal in Lao PDR is 26.8%.,"A. Phengsavanh, S. Sengchanh, C. Souksakhone, Boupalisone Souvanlasy, V. Sychareun",Hemoglobin,,0.261 (16061),10.1080/03630269.2022.2069034,,2022,,https://doi.org/10.1080/03630269.2022.2069034,https://semanticscholar.org/paper/3fcbb61bd12f3c4af7bd7cb2935caef930ed877b,"Abstract Thalassemia is a major public health and economical burden in Lao People’s Democratic Republic (Lao PDR). This study is aiming to elaborate the current situation of Thalassemia in Laos. α- and β-thalassemia (α- and β-thal) includes the common Hb S (HBB: c.20A>T) and hemoglobins (Hbs) such as Hb Constant Spring (Hb CS or HBA2: c.427T>C) and Hb E (HBB: c.79G>A) that are prevalent in the country. Overall, the prevalence of α-thal in Lao PDR is 26.8%. There was high prevalence of homozygous (12.8%) and heterozygous (39.7%) Hb E among migrant workers from Lao PDR who crossed the border to work in Thailand. Iron chelation, blood transfusion, prenatal screening and diagnosis, comprehensive treatment are still the major problems. Splenectomy is still performed. A national registry has still not been established. This is a national economic burden for the country. Thalassemia prevention and control strategy should be established and advocated by the government in order to reduce morbidity and premature mortality.",,,,,
